chunk_size,retriever,recall@1,recall@3,recall@5,mrr@10
300,vector,0.8076923076923077,0.9615384615384616,0.9615384615384616,0.8836996336996337
300,hybrid,0.8461538461538461,1.0,1.0,0.9230769230769231
300,hybrid_rerank,0.8846153846153846,0.9615384615384616,0.9615384615384616,0.9294871794871795
500,vector,0.8076923076923077,0.9615384615384616,0.9615384615384616,0.8836996336996337
500,hybrid,0.8461538461538461,1.0,1.0,0.9230769230769231
500,hybrid_rerank,0.8846153846153846,0.9615384615384616,0.9615384615384616,0.9294871794871795
800,vector,0.8076923076923077,0.9615384615384616,0.9615384615384616,0.8836996336996337
800,hybrid,0.8461538461538461,1.0,1.0,0.9230769230769231
800,hybrid_rerank,0.8846153846153846,0.9615384615384616,0.9615384615384616,0.9294871794871795
